#1 String,#2 String,Quality
Place a meeting in my agenda for 2 PM today.,Please add a meeting to my calendar for 2 PM today.,1
Log a meeting at 2 PM today on my calendar.,Book a meeting for me at 2 PM today.,1
Block off 2 PM today for a meeting.,Set an event titled 'Meeting' for 2 PM today.,1
Can you log a meeting at 2 PM today?,Block off 2 PM today for a meeting.,1
Create a meeting at 2 PM today.,Make an entry for a meeting at 2 PM today.,1
Set a calendar event for a meeting at 2 PM today.,Mark a meeting in my calendar for 2 PM today.,1
Book me for a meeting at 2 PM today.,Remind me about a meeting at 2 PM today.,1
Block off 2 PM today for a meeting.,Can you set up a meeting at 2 PM today?,1
Register a meeting at 2 PM today in my schedule.,Place a meeting in my agenda for 2 PM today.,1
I need a meeting added at 2 PM today.,Can you log a meeting at 2 PM today?,1
Register a meeting at 2 PM today in my schedule.,Schedule an appointment at 2 PM today.,1
Book me for a meeting at 2 PM today.,Log a meeting at 2 PM today on my calendar.,1
Add a meeting at 2 PM today.,Schedule a discussion for 2 PM today.,1
Set a reminder for a meeting at 2 PM today.,Schedule a discussion for 2 PM today.,1
Please add a meeting to my calendar for 2 PM today.,Set a calendar event for a meeting at 2 PM today.,1
Set a calendar event for a meeting at 2 PM today.,Make an entry for a meeting at 2 PM today.,1
Book a meeting for me at 2 PM today.,Schedule a discussion for 2 PM today.,1
Set an event titled 'Meeting' for 2 PM today.,Schedule a meeting for 2 PM today.,1
Place a meeting in my agenda for 2 PM today.,I want to schedule a meeting at 2 PM today.,1
Create a meeting at 2 PM today.,Schedule a meeting for 2 PM today.,1
Put a meeting on my schedule for 2 PM today.,Reserve a slot for a meeting at 2 PM today.,1
Schedule a discussion for 2 PM today.,Can you log a meeting at 2 PM today?,1
Mark a meeting in my calendar for 2 PM today.,Set a calendar event for a meeting at 2 PM today.,1
Set a calendar event for a meeting at 2 PM today.,Schedule a meeting for 2 PM today.,1
Put a meeting on my schedule for 2 PM today.,Log a meeting at 2 PM today on my calendar.,1
Can you set up a meeting at 2 PM today?,Put a meeting on my schedule for 2 PM today.,1
Set a reminder for a meeting at 2 PM today.,Reserve a slot for a meeting at 2 PM today.,1
Please add a meeting to my calendar for 2 PM today.,Remind me about a meeting at 2 PM today.,1
I need a meeting added at 2 PM today.,Put a meeting on my schedule for 2 PM today.,1
Log a meeting at 2 PM today on my calendar.,Book me for a meeting at 2 PM today.,1
Set a reminder for a meeting at 2 PM today.,Create a meeting at 2 PM today.,1
